CountryName,"Adolescent fertility rate (births per 1,000 women ages 15-19)",GDP per capita (current US$),GNI (current US$),"Incidence of tuberculosis (per 100,000 people)",Improved water source (% of population with access),"Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)","Mortality rate, infant (per 1,000 live births)","Population, ages 0-14 (% of total)",Population ages 65 and above (% of total),"Tuberculosis case detection rate (%, all forms)",Urban population (% of total),Rural population (% of total population),Mobile cellular subscriptions (per 100 people),Internet users (per 100 people),"GNI per capita, PPP (current international $)","Inflation, GDP deflator (annual %)"
Ireland,13.7812,48260.665358323604,186744370860.927,10.0,97.4,2.5,4.2,3.5,20.7180593823189,11.1421655873281,83.0,61.84,38.16,105.235809874784,69.85,36670.0,-2.32183161766163
Israel,12.5248,30736.3638939294,227769189622.894,5.6,100.0,2.4,4.6,3.7,27.238136976495,10.434886787286,82.0,91.824,8.176,122.783667871998,67.5,28130.0,1.48267115368448
Italy,6.591,35877.8719327318,2121293245033.11,7.1,100.0,2.4,4.0,3.4,14.0211905392305,20.442225899584106,110.0,68.327,31.673000000000002,154.797008800909,53.68,34630.0,0.319927712027052
Jamaica,67.8484,4902.03473104734,12697013046.4637,5.6,93.7,13.5,18.1,15.5,27.1278864081498,8.39550380793018,85.0,53.743,46.257,116.06829875049499,27.67,7890.0,9.839669182230821
Japan,4.7704,42909.2341523544,5643190525393.63,20.0,100.0,1.1,3.2,2.4,13.289890287451101,22.9421995174011,89.0,90.522,9.47799999999999,96.8075244937818,78.21,34650.0,-2.1644214353437703
Jordan,26.802,4370.721044760129,26218055492.9577,6.3,96.9,12.5,20.8,17.8,36.6926402197514,3.72335496398233,83.0,82.473,17.527,102.56324449373301,27.2,10940.0,8.41218336104031
Kazakhstan,30.0468,9070.64997199985,128676481286.689,145.0,93.2,10.7,21.6,19.3,24.178241126765,6.80083116378625,99.0,53.732,46.268,121.86700099810801,31.6,16690.0,19.542285397404
Kenya,96.5826,991.850545143199,39852031724.0753,299.0,60.0,25.9,62.1,42.4,42.6096797056698,2.6601459872621,82.0,23.570999999999998,76.429,61.0349130809079,14.0,2480.0,2.0938033432947702
Kiribati,23.5756,1465.50457444028,211796000.73381,366.0,65.4,25.7,62.9,48.3,36.0562310030395,3.5480476969838604,76.0,43.773,56.227,10.8396509212936,9.07,2270.0,1.11941534836635
"Korea, Rep.",1.916,22151.208892132403,1095599453662.05,102.0,97.6,1.7,4.1,3.5,16.2400679192751,11.088888681107399,88.0,81.936,18.064,104.774246283547,83.7,30500.0,3.1614524013424394
Kuwait,12.6032,37725.141206371,123881275318.978,30.0,99.0,4.6,10.8,9.2,23.5747463697179,1.85587517850297,100.0,98.26299999999999,1.73699999999999,133.011485569498,61.4,77500.0,11.1657139576088
Kyrgyz Republic,36.8604,880.037775119109,4489298355.46283,145.0,86.1,16.1,30.0,26.5,29.9681749715943,4.48970613774156,71.0,35.303000000000004,64.697,98.89869621123829,16.3,2560.0,10.0339038191476
Lao PDR,69.569,1147.09538658271,6713291491.94987,221.0,67.5,33.6,79.7,59.0,36.9776332535958,3.68166089081077,29.0,33.123000000000005,66.877,62.594975728273,7.0,3650.0,10.0184571683207
Latvia,16.4796,11319.517002393999,23993483571.8071,51.0,98.9,6.3,9.4,8.2,14.154858195500696,18.3720406272318,85.0,67.692,32.308,110.31231957231701,68.42,17580.0,-0.972356389285594
Lebanon,13.149000000000001,8763.795964165509,37501050248.7562,14.0,97.7,5.9,10.1,8.7,23.7213740986029,8.39623937898475,85.0,87.18299999999999,12.817,65.96644346629829,43.68,15730.0,0.159474186695491
Lesotho,91.7458,1087.98277034468,2594045334.09824,1119.0,80.8,34.8,100.7,75.2,37.6916481065719,4.27357994137032,52.0,24.753,75.247,49.1531523638809,3.86,2590.0,2.35598485637271
Liberia,127.2386,326.604438111264,1113297000.0,293.0,71.1,27.6,89.3,65.2,43.34768405175351,3.07153378356186,57.0,47.801,52.199,39.6996455271489,2.3,590.0,5.473707483956421
Lithuania,15.9764,11988.757967608999,36208941971.3831,73.0,95.0,3.4,6.7,5.6,14.7664862216544,17.4957370466259,77.0,66.757,33.243,159.395389930509,62.12,19570.0,2.37852336903453
Luxembourg,8.0456,103267.276511115,38946887417.2185,7.2,100.0,1.2,2.4,1.9,17.6440127665691,13.9930181594797,79.0,88.54700000000001,11.453,143.142640558394,90.62,62890.0,3.1269817636386503
"Macedonia, FYR",19.7022,4561.17754644919,9276084673.89761,21.0,99.4,6.5,9.9,8.7,18.1523077243832,11.261790022803,89.0,56.992,43.008,102.435953298805,51.9,11510.0,2.04127388497699
Madagascar,127.4148,414.142787218657,8636905820.378479,241.0,46.9,22.3,60.3,42.1,43.4086771945411,2.8464009542526902,48.0,31.929000000000002,68.071,36.5839289031654,1.7,1350.0,8.794425437250169
Malawi,146.6972,365.516569542613,5290117289.52965,332.0,81.0,25.7,90.9,57.5,46.1885937164857,3.20416140368362,43.0,15.54,84.46,20.7634710018734,2.26,720.0,7.3837650827643
Malaysia,12.7924,9069.04175699503,246904473627.022,84.0,97.3,4.3,8.0,6.8,27.3609060954366,4.98485410268429,79.0,70.91199999999999,29.088,119.74429756008999,56.3,20020.0,7.265875713030598
Maldives,11.338,6330.7949828376,2012101758.7014,38.0,98.3,7.4,13.0,11.2,28.693377433661603,4.90716379763963,74.0,39.984,60.016000000000005,151.783883031312,26.53,8920.0,1.2154371275874198
Mali,178.5698,610.790602095153,8845043951.57956,63.0,66.9,42.1,136.6,82.9,47.080585148852606,2.7294797500357,56.0,35.996,64.00399999999999,53.1989399941842,2.0,1440.0,2.4384707595573
